path,module,name,description,signature,check_api_urls
"analysis/stock/backtest/add_order_from_signals.html","analysis.stock.backtest","add_order_from_signals","시그널 열의 값을 이용하여 매매수량을 계산하는 함수","add_order_from_signals( df: 'pd.DataFrame', buy_signal: 'str', sell_signal: 'str', ) -> pd.DataFrame",""
"analysis/stock/backtest/backtest_plot_stock_daily.html","analysis.stock.backtest","backtest_plot_stock_daily","백테스트 결과를 챠트로 시각화하는 함수","backtest_plot_stock_daily( df_result: 'pd.DataFrame', title: 'Optional[str]'=None, height: 'Optional[int]'=800, width: 'Optional[int]'=None, ) -> go.Figure",""
"analysis/stock/backtest/backtest_stats_stock_daily.html","analysis.stock.backtest","backtest_stats_stock_daily","백테스트의 성능 평가를 위한 함수","backtest_stats_stock_daily( df_result: 'pd.DataFrame', days_in_year: 'int'=252, ) -> pd.Series",""
"analysis/stock/backtest/backtest_stock_daily.html","analysis.stock.backtest","backtest_stock_daily","단일 주식의 일간기준 백테스트 수행","backtest_stock_daily( symbol: 'str', order: 'Union[pd.DataFrame, Callable[[str, dt.datetime, pd.DataFrame, pd.DataFrame, logging.Logger], int]]', start_date: 'DATE_IN'=None, end_date: 'DATE_IN'=None, init_cash: 'int'=0, close_on_end: 'bool'=False, allow_loan: 'bool'=False, broker_fee_percent: 'float'=0.0, exchange_fee_percent: 'float'=0.0, trade_tax_percent: 'float'=0.0, slippage_tick: 'int'=0, return_position: 'bool'=False, use_notadj: 'bool'=False, logger: 'Optional[logging.Logger]'=None, logname: 'Optional[str]'=None, logpath: 'Optional[str]'=None, loglevel: 'Optional[int]'=None, return_logger: 'Optional[bool]'=False, ) -> Union[pd.DataFrame, tuple[pd.DataFrame, pd.DataFrame], tuple[pd.DataFrame, logging.Logger], tuple[pd.DataFrame, pd.DataFrame, logging.Logger]]",""
"analysis/stock/backtest/backtest_stock_port_daily.html","analysis.stock.backtest","backtest_stock_port_daily","주식 포트폴리오의 일간기준 백테스트 수행","backtest_stock_port_daily( order: 'Union[pd.DataFrame, Callable[[dt.datetime, dict[str, pd.DataFrame], dict[str, pd.DataFrame], logging.Logger], list[tuple[str, int]]]]', start_date: 'DATE_IN'=None, end_date: 'DATE_IN'=None, init_cash: 'int'=0, close_on_end: 'bool'=False, allow_loan: 'bool'=False, broker_fee_percent: 'float'=0.0, exchange_fee_percent: 'float'=0.0, trade_tax_percent: 'float'=0.0, slippage_tick: 'int'=0, return_position: 'bool'=False, use_notadj: 'bool'=False, logger: 'Optional[logging.Logger]'=None, logname: 'Optional[str]'=None, logpath: 'Optional[str]'=None, loglevel: 'Optional[int]'=None, return_logger: 'Optional[bool]'=False, ) -> Union[dict[str, pd.DataFrame], tuple[dict[str, pd.DataFrame], dict[str, pd.DataFrame]], tuple[dict[str, pd.DataFrame], logging.Logger], tuple[dict[str, pd.DataFrame], dict[str, pd.DataFrame], logging.Logger]]",""
"analysis/stock/backtest/backtest_update_stock_daily.html","analysis.stock.backtest","backtest_update_stock_daily","단일 주식의 일간기준 백테스트 결과를 하루 단위로 업데이트하는 함수","backtest_update_stock_daily( symbol: 'str', order: 'int'=0, date: 'DATE_IN'=None, df_result: 'Optional[pd.DataFrame]'=None, df_position: 'Optional[pd.DataFrame]'=None, init_cash: 'int'=0, trade_close: 'bool'=False, allow_loan: 'bool'=False, broker_fee_percent: 'float'=0.0, exchange_fee_percent: 'float'=0.0, trade_tax_percent: 'float'=0.0, slippage_tick: 'int'=0, use_notadj: 'bool'=False, logger: 'Optional[logging.Logger]'=None, logname: 'Optional[str]'=None, logpath: 'Optional[str]'=None, loglevel: 'Optional[int]'=None, return_logger: 'Optional[bool]'=False, ) -> tuple[pd.DataFrame, pd.DataFrame] | tuple[pd.DataFrame, pd.DataFrame, logging.Logger]",""
"analysis/stock/backtest/backtest_update_stock_port_daily.html","analysis.stock.backtest","backtest_update_stock_port_daily","복수 주식의 일간기준 백테스트 결과를 하루 단위로 업데이트하는 함수","backtest_update_stock_port_daily( symbols_and_orders: 'list[tuple[str, int]]', date: 'DATE_IN', dict_df_result: 'Optional[dict[str, pd.DataFrame]]'=None, dict_df_position: 'Optional[dict[str, pd.DataFrame]]'=None, init_cash: 'int'=0, trade_close: 'bool'=False, allow_loan: 'bool'=False, broker_fee_percent: 'float'=0.0, exchange_fee_percent: 'float'=0.0, trade_tax_percent: 'float'=0.0, slippage_tick: 'int'=0, use_notadj: 'bool'=False, logger: 'Optional[logging.Logger]'=None, logname: 'Optional[str]'=None, logpath: 'Optional[str]'=None, loglevel: 'Optional[int]'=None, return_logger: 'Optional[bool]'=False, ) -> tuple[dict[str, pd.DataFrame], dict[str, pd.DataFrame]] | tuple[dict[str, pd.DataFrame], dict[str, pd.DataFrame], logging.Logger]",""
"analysis/stock/backtest/handle_stock_merge.html","analysis.stock.backtest","handle_stock_merge","액면병합을 처리하는 함수","handle_stock_merge( ratio: 'int', df_position: 'pd.DataFrame', ) -> tuple[pd.DataFrame, float]",""
"analysis/stock/backtest/handle_stock_split.html","analysis.stock.backtest","handle_stock_split","액면분할을 처리하는 함수","handle_stock_split( ratio: 'int', df_position: 'pd.DataFrame', ) -> pd.DataFrame",""
"analysis/stock/ta/moving_average/sma.html","analysis.stock.ta.moving_average","sma","단순이동평균(SMA: Simple Moving Average) 계산 함수","sma( df: 'pd.DataFrame', length: 'int'=10, column: 'str'='CLOSE', out_column: 'Optional[str]'=None, inplace: 'bool'=False, ) -> pd.DataFrame",""
